Source,Target,value
Flourens,Milva,2
Codringher,Milva,1
Fauve,Milva,3
Cirilla,Triss,2
Cirilla,Emhyr,26
Ori,Yennefer,3
Milva,Ori,4
Count,Fitz-Oesterlen,8
Fitz-Oesterlen,Prince,3
Fitz-Oesterlen,Vizimir,2
Shilard,Vizimir,2
Francesca,Shilard,1
Emhyr,Yennefer,26
Emhyr,Shilard,9
Cahir,Fitz-Oesterlen,3
Cahir,Cirilla,6
Coinneach,Milva,5
Ciaran,Milva,5
Ciaran,Toruviel,10
Milva,Toruviel,2
Keira,Margarita,18
Margarita,Philippa,46
Sabrina,Sheala,11
Francesca,Sheala,13
Francesca,Triss,44
Margarita,Triss,35
Sabrina,Sigismund,10
Philippa,Sheala,13
Sheala,Triss,5
Emhyr,Triss,5
Margarita,Sheala,3
Kayleigh,Tuzik,2
Asse,Kayleigh,11
Asse,Two,6
Falka,Tuzik,3
Milenka,Tuzik,6
Mykitka,Reef,2
Tuzik,Zgarba,4
Dandelion,Milva,114
Geralt,Milva,255
Emhyr,Milva,2
Milva,Roach,41
Cahir,Roach,15
Dandelion,Zoltan,68
Milva,Zoltan,146
Munro,Yazon,24
Caleb,Yazon,42
Caleb,Figgis,12
Figgis,Percival,6
Percival,Zoltan,80
Geralt,Zoltan,164
Munro,Zoltan,25
Caleb,Zoltan,34
Roach,Zoltan,6
Caleb,Milva,3
Milva,Percival,8
Foltest,Milva,4
Figgis,Munro,35
Dandelion,Figgis,5
Geralt,Percival,13
Figgis,Zoltan,11
Yazon,Zoltan,12
Milva,Yazon,3
Dandelion,Yazon,5
Cahir,Geralt,305
Cahir,Zoltan,13
Ciri,Milva,38
Effenberg,Philippa,5
Effenberg,Talbot,30
Talbot,Zoltan,1
Two,Zoltan,6
Milva,Yennefer,8
Yennefer,Zoltan,2
Falka,Giselher,4
Asse,Giselher,6
Falka,Mistle,21
Dandelion,Munro,1
Hector,Zoltan,5
Dandelion,Giselher,3
Anzelm,Aubry,5
Anzelm,Geralt,2
Anzelm,Dandelion,11
Count,Dandelion,12
Count,Daniel,7
Daniel,Foltest,5
Count,Foltest,8
Count,Emhyr,11
Dandelion,Daniel,8
Daniel,Geralt,14
Count,Vissegerd,17
Daniel,Vissegerd,14
Dandelion,Vissegerd,21
Cirilla,Vissegerd,9
Cirilla,Count,10
Cirilla,Daniel,3
Ciri,Count,4
Ciri,Riannon,15
Adalia,Ciri,10
Ciri,Vissegerd,17
Ciri,Daniel,2
Ciri,Cirilla,12
Elan,Milva,2
Cahir,Milva,345
Cahir,Vilgefortz,27
Vattier,Vilgefortz,43
Francesca,Vattier,24
Francesca,Rience,10
Cahir,Stefan,5
Fringilla,Merlin,2
Emhyr,Fringilla,34
Emhyr,Mawr,4
Ceallach,Mawr,6
Cahir,Fringilla,34
Albrich,Emhyr,11
Albrich,Fringilla,2
Fringilla,Xarthisius,4
